,Class,Component_0,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Component_46,Component_47,Component_48,Component_49
Cluster Mean,0,-2.236251360915368,1.0411963048743598,-1.348002296292426,0.1224007686656872,-0.4120924594325359,-1.2224050172158456,-0.8856144538078279,-0.6552942147410674,0.434503629535575,-0.032971278681063095,-0.9261032609054212,-0.08038410324599836,-0.31874874976120704,0.26348725705099957,0.10121702247161553,-0.1846046905166943,0.05209618045421488,0.15125796545347106,-0.21649913520017822,0.12941139278623182,0.049525815976322385,0.055604878581235265,0.034063605994910366,-0.1137854401416763,0.10617204639025517,-0.13911282217779558,0.13110083757733265,-0.024785605531422915,0.11928935649972555,0.08719821064016278,0.030904410900409636,0.008914360384174327,0.0319431209760792,0.04373029302812816,0.03733892638448862,0.0518040813787832,-0.034635323041440805,-0.09532103493100441,0.03572228932463945,-0.0003524954235822703,0.044235281759592446,0.010140996232484517,0.014988454791175792,-0.07522564880711205,0.029201948534397348,-0.07737566412167635,0.08732265309619439,0.0038928257397012806,-0.010573162670317712,-0.06594240747839362
Cluster Mean,1,-1.453469390312281,-1.6557619159555266,1.789431978277411,0.30214271805232956,-0.15295005003169818,0.6128152745862313,-0.058608178499474015,0.2974519561035858,-0.04029530729097837,0.15373520216690867,0.07905570687124537,-1.0126261328149122,0.5586081623934825,0.06383285386295458,0.22282713753834746,-0.030366269708754185,0.08425086765588832,0.03461896411150837,-0.01933256197982782,0.19304903098351,-0.18273483653357883,-0.17734039499408105,-0.04962193279873676,-0.29351315921060145,0.248071136965197,0.06033493422664622,-0.12012169042927386,0.01952275008081906,0.17880840675761325,-0.054859123037761665,0.012344142930907992,0.01294636869302513,-0.14810180986179428,-0.01852011409403674,-0.09686590367880386,-0.04376632058478767,0.012466180262686248,0.006528400393257541,-0.02993329363952186,-0.08102101083768606,0.09944972523358388,0.11215407705405253,-0.057800617324087006,-0.010441425519849895,-0.04578283632889759,-0.07446280992533083,0.02883019047140851,0.06255616642023644,0.03529411438637566,-0.011403634903490202
Cluster Mean,2,-0.8422925295210212,-1.9696447224682698,-0.23444429442318857,2.1765462212982185,-0.9583347721966357,-0.6678172596119837,1.3339784397926384,-0.025817751845786194,0.23419710156515666,-0.8499882534704853,-0.2847216627743304,0.43554414147365833,-0.07367847400469617,-0.09121307791269699,0.12388143532780618,0.31426664608155114,0.15493181856854465,-0.15079905604092803,-0.06965734961628299,-0.3118598472199388,0.1687476690186631,0.11307508943580033,0.07553333373802877,0.08033464546181684,-0.14398560330716348,-0.014045204628757784,-0.13129222263090734,0.14241578297937707,-0.17490445010151004,0.13543356554477148,0.04572799446497255,-0.03897824757453567,-0.024308212672058887,-0.0072028815046751475,-0.0325166809550292,-0.016022279671108496,-0.09341925558704801,0.06591946282925547,-0.11392364660278843,-0.09301215542695376,-0.09516639803912962,-0.11515807852646505,0.06717538398252025,-0.058462448805446675,0.0001999621658633007,0.008495559851889989,-0.022252004580168638,-0.025956745532974636,-0.03129061576992697,0.05688867406832333
Cluster Mean,3,0.38175738082552624,-2.8522703770767794,0.6541031581251413,-1.1663633847000998,0.056905193004412026,-0.7723454724329498,-1.2458288957000023,0.26351227167798913,0.13844113455861656,0.6366155414267599,0.04794921531521655,0.3547991432533758,-0.2755154833318962,-0.23641769324275896,-0.4695789156281961,-0.08273619401529689,-0.15826102423030067,-0.19405045011534872,0.012826248817586974,-0.05127494168208352,0.07866256843636679,0.12728935130506389,0.07844346893190253,0.11452515505851782,-0.042845390924539005,0.010655383456408148,0.19643238517480044,-0.27535630121978694,-0.03786123870602578,-0.05418342223369866,0.10023571981872886,-0.10283284460472843,0.15672139909690716,-0.06710850722403688,0.13489513185070745,0.06108409163274692,0.04638670055533791,-0.03771868679186713,0.047094139852200755,0.02865263505901249,-0.036135388746955883,-0.054192960488333775,-0.030705627192928353,0.04016068043499854,0.016939826769184468,0.04875032999008759,-0.05665079856466721,-0.06379866833355428,0.047721628284300474,0.01024365702712837
Cluster Mean,4,4.550852590482874,0.16685028043888486,-1.1183010694200437,1.4450867753270007,1.7682873001579371,-0.7417343172529519,0.17522886069739707,-0.7666348660211827,-0.049128063986546164,0.3576006247109513,-0.1333242586020609,-0.5103643450089221,0.14888369052610217,-0.10568618556521248,-0.32218246985660903,-0.03042662259141855,0.06136790351906934,0.07595896315322485,-0.14581146779747423,-0.11791258004327614,-0.07974028971698446,0.010443385589012285,-0.04985525254300786,-0.0013943514612790048,0.20670688557692282,0.04705008799237131,-0.026532640688646407,0.039239991619937124,0.12099027166257903,-0.14750234721823155,-0.06363787071093592,-0.023761378750625558,-0.15474852079484971,-0.06024666492152429,-0.0012759196606807227,-0.011653240528554269,-0.05589464206503028,-0.02766319157264947,0.0741686347785134,-0.026466679507484287,-0.0005443090230630458,0.06330143664603508,-0.019351208966201124,-0.05055669632234566,-0.08013989963713278,-0.017385830579326893,0.0822076608438176,0.08012236984648258,-0.018838135143030205,0.0647019205672294
Cluster Mean,5,-2.99034238631518,1.0193961539292062,-0.5552495160780329,-0.16972886138276672,1.538101423594037,0.41029936133909817,0.7453733802638556,-0.3737344541671282,-0.06376500455408922,0.34022019630538386,0.9288716973959089,0.17139162330350222,-0.18065932548358996,-0.2565265832057997,-0.41576998265860005,0.08826845003392092,-0.32220705398903576,-0.15081757951689073,0.16729875947689204,-0.16924814163357363,-0.2702745850867463,-0.1329282104041585,-0.08277831772294518,0.203075828310579,-0.09612256156340057,-0.13044566228453927,0.16867471290156516,0.007021521738023225,0.019216930067323994,0.007309288389590997,-0.02934817973908202,0.07687309262974568,-0.023818112351991914,-0.014240715771904963,-0.04135546231912602,-0.05817834523091359,0.0444422752621512,0.11023186320057987,0.08563371485304198,0.07144963606620117,0.005334288733660772,-0.026909996151061943,-0.03384865873212334,0.072982270386092,-0.0915445942791831,0.022034838341040322,0.002892023566552932,-0.011448378639810231,0.007389515223374338,0.042661692284296664
Cluster Mean,6,1.2766470943752748,2.031784303635134,2.1570345479981095,-0.7182707457624853,0.6137246420319041,-0.16675071622421964,0.09006633579101499,0.6874451815615488,0.6139743523551244,-0.5776999934418415,-0.27142368354258667,0.4448518052361327,-0.04604669732921154,-0.28516077104618237,0.12092502635886845,-0.059105789043757545,-0.16162432608860444,0.10816013972296443,0.15722599727787734,0.021079323563356542,0.06403873706557449,0.07596748479060908,-0.005075122365018498,-0.12324548501270192,-0.12355348150778181,-0.13332617952824105,0.009724515410739125,-0.025925831902516367,0.08389175292890683,-0.02010781852016752,-0.026509603747369687,0.022183353043081572,0.022097218411873915,-0.020434777218282223,-0.06569738194740919,-0.028757832359613805,-0.012629297856240148,-0.047675369184555116,-0.07818119211430706,-0.007658980806209982,0.0020459817335864235,-0.02492762382120135,0.00860569082978183,0.02082575427531404,0.020179697107711513,-0.08424687365745745,-0.10317509063972173,-0.05635514255278876,-0.03700667231054299,-0.01756740255874215
Cluster Mean,7,0.8464085570490751,-0.7839884820518951,-1.757578531139685,-1.892037061112976,0.20328573465096927,2.0308590885334223,0.4208154168858721,-0.013890687660153896,0.27455438068364013,-0.43276325001586347,-0.03868609434999997,0.04757728932834076,-0.1390556803008025,0.4429292977833563,0.19381783415035778,-0.5122397923968459,0.30941074479444547,0.11574772670878146,0.1258279338176528,0.052645227007694716,0.20866383780584,0.08312816977713444,0.05818634626724694,0.20394598239549114,-0.011057083742842101,0.07353454891458876,0.01711090369180152,0.16849616644612783,-0.02829006283216133,-0.01222530441457735,-0.042006981474488246,0.011276802890431249,-0.07150749230288987,0.06188814304716585,-0.042358863337486126,0.05123519651176246,-0.06036173747007281,0.075403722902891,-0.061848504351178876,-0.03482202788837736,0.08371737978330625,0.005137249750746443,0.017368533402838934,-0.04560527909319414,0.06326956533492342,0.04816857212950796,0.045589281237644594,-0.019871952894322822,0.05852512893591779,-0.07193481536317871
Cluster Mean,8,0.9210249992596289,1.1801666211935633,-2.063781772041846,-1.283134069718062,-1.8260760935676246,-1.0074423273729562,0.22604740071910248,1.092219787643616,-0.8331948115541187,0.41698016267520294,0.4366935211995276,-0.1445964989616667,0.6551320296722939,-0.3972671569771325,0.4541996169621231,0.3703427926926099,0.04996305622112434,-0.14683524200342724,0.09961664176614934,0.03704250007397594,-0.4655635458762265,-0.10467490745237522,-0.14075329851985843,-0.18292950269183242,-0.1934262968141394,0.019463926270822694,-0.19918216553347987,0.01423745707177519,-0.19739801429826528,-0.06420608938572876,0.05295796875476613,-0.023728702724746885,0.05170425408351681,0.15973345940207395,-0.007402916524969599,-0.06241016526038492,0.0042138689077918425,-0.0609325006638662,-0.04979570881514689,-0.023508400424893598,-0.12865082267875205,0.1861336158303022,0.035743843448859246,-0.06401946756527836,0.10697112670777911,0.01773769389556641,0.013633126894471145,0.011389176041086805,-0.003760651465894827,0.0037137258223733775
Cluster Mean,9,0.31972890791485603,1.4023549540285167,0.989523945905767,1.2148004436815139,-1.0893228555890415,0.8315956360367351,-0.5486904365696055,-0.4111641449053765,-0.900149816524882,0.18358379649985004,0.22418861194938788,0.13254012927025172,-0.11753052164773789,0.43599737351330836,0.033331187763262826,0.23345432546859593,-0.001869943801442912,0.07703657732518714,-0.13124916877640228,0.14262496150898943,0.24956696705129644,-0.06187467205494786,0.03768497582398399,0.08442852131156574,0.029424533761341194,0.20641578365247865,-0.09849178908678316,-0.0365954577481545,-0.1355889931714686,0.08301459610214881,-0.055266764138869905,0.029414998656311385,0.12867893251296947,-0.03320470138819396,0.11186959727853354,0.037889186043183844,0.11440633891334498,-0.0006177666344876223,0.08310743529317455,0.12912960277551058,-0.022775179020037076,-0.08622242952683586,0.010072265493251662,0.11291486190852919,-0.0031890581320555664,0.11081577348080476,-0.036025508781263614,0.03679659979086621,-0.042162590248952,0.008954701290851571
